label,crop,disease,description,symptoms,cause,solution,prevention,danger_level
Apple___Apple_scab,Apple,Apple scab,Apple scab affects apple crops and may lead to reduced yield if untreated.,"Typical symptoms of apple scab include discoloration, spots, or deformities on leaves or fruits.","The primary cause of apple scab is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Apple___Black_rot,Apple,Black rot,Black rot affects apple crops and may lead to reduced yield if untreated.,"Typical symptoms of black rot include discoloration, spots, or deformities on leaves or fruits.","The primary cause of black rot is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Apple___Cedar_apple_rust,Apple,Cedar apple rust,Cedar apple rust affects apple crops and may lead to reduced yield if untreated.,"Typical symptoms of cedar apple rust include discoloration, spots, or deformities on leaves or fruits.","The primary cause of cedar apple rust is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Medium
Apple___healthy,Apple,Healthy,healthy affects apple crops and may lead to reduced yield if untreated.,"Typical symptoms of healthy include discoloration, spots, or deformities on leaves or fruits.","The primary cause of healthy is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Blueberry___healthy,Blueberry,Healthy,healthy affects blueberry crops and may lead to reduced yield if untreated.,"Typical symptoms of healthy include discoloration, spots, or deformities on leaves or fruits.","The primary cause of healthy is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Cherry_(including_sour)___Powdery_mildew,Cherry,Powdery mildew,Powdery mildew affects cherry_(including_sour) crops and may lead to reduced yield if untreated.,"Typical symptoms of powdery mildew include discoloration, spots, or deformities on leaves or fruits.","The primary cause of powdery mildew is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Cherry_(including_sour)___healthy,Cherry,Healthy,healthy affects cherry_(including_sour) crops and may lead to reduced yield if untreated.,"Typical symptoms of healthy include discoloration, spots, or deformities on leaves or fruits.","The primary cause of healthy is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Low
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn,Cercospora leaf spot Gray leaf spot,Cercospora leaf spot Gray leaf spot affects corn_(maize) crops and may lead to reduced yield if untreated.,"Typical symptoms of cercospora leaf spot gray leaf spot include discoloration, spots, or deformities on leaves or fruits.","The primary cause of cercospora leaf spot gray leaf spot is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Medium
Corn_(maize)___Common_rust_,Corn,Common rust,Common rust affects corn_(maize) crops and may lead to reduced yield if untreated.,"Typical symptoms of common rust include discoloration, spots, or deformities on leaves or fruits.","The primary cause of common rust is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",Medium
Corn_(maize)___Northern_Leaf_Blight,Corn,Northern Leaf Blight,Northern Leaf Blight affects corn_(maize) crops and may lead to reduced yield if untreated.,"Typical symptoms of northern leaf blight include discoloration, spots, or deformities on leaves or fruits.","The primary cause of northern leaf blight is microbial infection (fungi, bacteria, or viruses).",Apply recommended fungicides/pesticides and remove infected plant material.,"Practice crop rotation, proper spacing, and maintain clean growing conditions.",High
